Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K05298	GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K04041	fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
